Cancer	scenario	Stage	dwell
[OTHER]	old_1	I	10
[OTHER]	old_1	II	4
[OTHER]	old_1	III	2
[OTHER]	old_1	IV	1
[OTHER]	old_2	I	7
[OTHER]	old_2	II	3
[OTHER]	old_2	III	1.5
[OTHER]	old_2	IV	1
[OTHER]	old_3	I	4
[OTHER]	old_3	II	2
[OTHER]	old_3	III	1
[OTHER]	old_3	IV	1
[OTHER]	old_4	I	2
[OTHER]	old_4	II	1
[OTHER]	old_4	III	0.5
[OTHER]	old_4	IV	0.5
[OTHER]	old_1	NotStaged	6
[OTHER]	old_2	NotStaged	4
[OTHER]	old_3	NotStaged	3
[OTHER]	old_4	NotStaged	2
Anus	old_1	I	4
Anus	old_1	II	2
Anus	old_1	III	1
Anus	old_1	IV	1
Anus	old_2	I	3
Anus	old_2	II	1.5
Anus	old_2	III	0.75
Anus	old_2	IV	0.75
Anus	old_3	I	2
Anus	old_3	II	1
Anus	old_3	III	0.5
Anus	old_3	IV	0.5
Anus	old_4	I	1.5
Anus	old_4	II	0.75
Anus	old_4	III	0.5
Anus	old_4	IV	0.25
Bladder	old_1	I	10
Bladder	old_1	II	4
Bladder	old_1	III	2
Bladder	old_1	IV	1
Bladder	old_2	I	7
Bladder	old_2	II	3
Bladder	old_2	III	1.5
Bladder	old_2	IV	1
Bladder	old_3	I	4
Bladder	old_3	II	2
Bladder	old_3	III	1
Bladder	old_3	IV	1
Bladder	old_4	I	2
Bladder	old_4	II	1
Bladder	old_4	III	0.5
Bladder	old_4	IV	0.5
Brain	old_1	NotStaged	6
Brain	old_2	NotStaged	4
Brain	old_3	NotStaged	3
Brain	old_4	NotStaged	2
Breast	old_1	I	10
Breast	old_1	II	4
Breast	old_1	III	2
Breast	old_1	IV	1
Breast	old_2	I	7
Breast	old_2	II	3
Breast	old_2	III	1.5
Breast	old_2	IV	1
Breast	old_3	I	4
Breast	old_3	II	2
Breast	old_3	III	1
Breast	old_3	IV	1
Breast	old_4	I	2
Breast	old_4	II	1
Breast	old_4	III	0.5
Breast	old_4	IV	0.5
Cervix	old_1	I	8
Cervix	old_1	II	4
Cervix	old_1	III	2
Cervix	old_1	IV	1
Cervix	old_2	I	6
Cervix	old_2	II	3
Cervix	old_2	III	1.5
Cervix	old_2	IV	1
Cervix	old_3	I	4
Cervix	old_3	II	2
Cervix	old_3	III	1
Cervix	old_3	IV	1
Cervix	old_4	I	1.5
Cervix	old_4	II	0.75
Cervix	old_4	III	0.5
Cervix	old_4	IV	0.25
Colon/Rectum	old_1	I	4
Colon/Rectum	old_1	II	2
Colon/Rectum	old_1	III	1
Colon/Rectum	old_1	IV	1
Colon/Rectum	old_2	I	3
Colon/Rectum	old_2	II	1.5
Colon/Rectum	old_2	III	0.75
Colon/Rectum	old_2	IV	0.75
Colon/Rectum	old_3	I	2
Colon/Rectum	old_3	II	1
Colon/Rectum	old_3	III	0.5
Colon/Rectum	old_3	IV	0.5
Colon/Rectum	old_4	I	1.5
Colon/Rectum	old_4	II	0.75
Colon/Rectum	old_4	III	0.5
Colon/Rectum	old_4	IV	0.25
CUP	old_1	NotStaged	6
CUP	old_2	NotStaged	4
CUP	old_3	NotStaged	3
CUP	old_4	NotStaged	2
Esophagus	old_1	I	4
Esophagus	old_1	II	2
Esophagus	old_1	III	1
Esophagus	old_1	IV	1
Esophagus	old_2	I	3
Esophagus	old_2	II	1.5
Esophagus	old_2	III	0.75
Esophagus	old_2	IV	0.75
Esophagus	old_3	I	2
Esophagus	old_3	II	1
Esophagus	old_3	III	0.5
Esophagus	old_3	IV	0.5
Esophagus	old_4	I	1.5
Esophagus	old_4	II	0.75
Esophagus	old_4	III	0.5
Esophagus	old_4	IV	0.25
Gallbladder	old_1	I	8
