Cancer	NET	Expected CSO	Sex	Predicted CSO	final_confusion	mode_found
Anus	NotExpected	Anus	Male	Anus	0.6690657942566339	cfdna
Anus	NotExpected	Anus	Female	Anus	0.6689640768588136	cfdna
Anus	NotExpected	Anus	Male	Bladder, urothelial	0.0017448200654307528	cfdna
Anus	NotExpected	Anus	Female	Bladder, urothelial	0.0016708437761069343	cfdna
Anus	NotExpected	Anus	Male	Bone and soft tissue	0.0018538713195201746	cfdna
Anus	NotExpected	Anus	Female	Bone and soft tissue	0.0017752715121136177	cfdna
Anus	NotExpected	Anus	Male	Breast	0.01744820065430753	cfdna
Anus	NotExpected	Anus	Female	Breast	0.016708437761069343	cfdna
Anus	NotExpected	Anus	Male	Cervix	0	cfdna
Anus	NotExpected	Anus	Female	Cervix	8.354218880534672e-4	cfdna
Anus	NotExpected	Anus	Male	Colon, rectum	0.01941112322791712	cfdna
Anus	NotExpected	Anus	Female	Colon, rectum	0.01858813700918964	cfdna
Anus	NotExpected	Anus	Male	Head and neck	0.15463467829880045	cfdna
Anus	NotExpected	Anus	Female	Head and neck	0.15413533834586465	cfdna
Anus	NotExpected	Anus	Male	Kidney	0.001962922573609597	cfdna
Anus	NotExpected	Anus	Female	Kidney	0.0018796992481203013	cfdna
Anus	NotExpected	Anus	Male	Liver, bile duct	0.0054525627044711015	cfdna
Anus	NotExpected	Anus	Female	Liver, bile duct	0.005221386800334169	cfdna
Anus	NotExpected	Anus	Male	Lung	0.02628135223555071	cfdna
Anus	NotExpected	Anus	Female	Lung	0.025167084377610695	cfdna
Anus	NotExpected	Anus	Male	Lymphoid lineage	0.013631406761177755	cfdna
Anus	NotExpected	Anus	Female	Lymphoid lineage	0.013053467000835423	cfdna
Anus	NotExpected	Anus	Male	Melanocytic lineage	7.633587786259544e-4	cfdna
Anus	NotExpected	Anus	Female	Melanocytic lineage	7.309941520467838e-4	cfdna
Anus	NotExpected	Anus	Male	Myeloid lineage	1.0905125408942205e-4	cfdna
Anus	NotExpected	Anus	Female	Myeloid lineage	1.044277360066834e-4	cfdna
Anus	NotExpected	Anus	Male	Neuroendocrine cells	0.007524536532170121	cfdna
Anus	NotExpected	Anus	Female	Neuroendocrine cells	0.007205513784461154	cfdna
Anus	NotExpected	Anus	Male	Ovary	0	cfdna
Anus	NotExpected	Anus	Female	Ovary	0.004177109440267336	cfdna
Anus	NotExpected	Anus	Male	Pancreas, gallbladder	0.012431842966194111	cfdna
Anus	NotExpected	Anus	Female	Pancreas, gallbladder	0.011904761904761904	cfdna
Anus	NotExpected	Anus	Male	Plasma cell neoplasm	0.0038167938931297713	cfdna
Anus	NotExpected	Anus	Female	Plasma cell neoplasm	0.003654970760233919	cfdna
Anus	NotExpected	Anus	Male	Prostate	0.005016357688113413	cfdna
Anus	NotExpected	Anus	Female	Prostate	0	cfdna
Anus	NotExpected	Anus	Male	Stomach, esophagus	0.05874227553616866	cfdna
Anus	NotExpected	Anus	Female	Stomach, esophagus	0.05827067669172933	cfdna
Anus	NotExpected	Anus	Male	Thyroid gland	1.0905125408942205e-4	cfdna
Anus	NotExpected	Anus	Female	Thyroid gland	1.044277360066834e-4	cfdna
Anus	NotExpected	Anus	Male	Uterus	0	cfdna
Anus	NotExpected	Anus	Female	Uterus	0.00584795321637427	cfdna
Bladder	No	Bladder, urothelial	Male	Anus	0.002651667336279631	cfdna
Bladder	No	Bladder, urothelial	Female	Anus	0.002539242843951986	cfdna
Bladder	No	Bladder, urothelial	Male	Bladder, urothelial	0.738770590598634	cfdna
Bladder	No	Bladder, urothelial	Female	Bladder, urothelial	0.7386888273314867	cfdna
Bladder	No	Bladder, urothelial	Male	Bone and soft tissue	0.0020490156689433508	cfdna
Bladder	No	Bladder, urothelial	Female	Bone and soft tissue	0.001962142197599262	cfdna
Bladder	No	Bladder, urothelial	Male	Breast	0.01928485335476095	cfdna
Bladder	No	Bladder, urothelial	Female	Breast	0.01846722068328717	cfdna
Bladder	No	Bladder, urothelial	Male	Cervix	0	cfdna
Bladder	No	Bladder, urothelial	Female	Cervix	9.233610341643586e-4	cfdna
Bladder	No	Bladder, urothelial	Male	Colon, rectum	0.021454399357171555	cfdna
Bladder	No	Bladder, urothelial	Female	Colon, rectum	0.020544783010156976	cfdna
Bladder	No	Bladder, urothelial	Male	Head and neck	0.013017276014463642	cfdna
Bladder	No	Bladder, urothelial	Female	Head and neck	0.012465373961218839	cfdna
Bladder	No	Bladder, urothelial	Male	Kidney	0.002169546002410607	cfdna
Bladder	No	Bladder, urothelial	Female	Kidney	0.002077562326869807	cfdna
Bladder	No	Bladder, urothelial	Male	Liver, bile duct	0.006026516673362796	cfdna
Bladder	No	Bladder, urothelial	Female	Liver, bile duct	0.00577100646352724	cfdna
Bladder	No	Bladder, urothelial	Male	Lung	0.13431096826034553	cfdna
Bladder	No	Bladder, urothelial	Female	Lung	0.13307940904893817	cfdna
Bladder	No	Bladder, urothelial	Male	Lymphoid lineage	0.015066291683406993	cfdna
Bladder	No	Bladder, urothelial	Female	Lymphoid lineage	0.014427516158818102	cfdna
Bladder	No	Bladder, urothelial	Male	Melanocytic lineage	8.437123342707918e-4	cfdna
Bladder	No	Bladder, urothelial	Female	Melanocytic lineage	8.079409048938138e-4	cfdna
Bladder	No	Bladder, urothelial	Male	Myeloid lineage	1.2053033346725595e-4	cfdna
Bladder	No	Bladder, urothelial	Female	Myeloid lineage	1.1542012927054482e-4	cfdna
Bladder	No	Bladder, urothelial	Male	Neuroendocrine cells	0.008316593009240661	cfdna
Bladder	No	Bladder, urothelial	Female	Neuroendocrine cells	0.007963988919667592	cfdna
Bladder	No	Bladder, urothelial	Male	Ovary	0	cfdna
Bladder	No	Bladder, urothelial	Female	Ovary	0.004616805170821792	cfdna
Bladder	No	Bladder, urothelial	Male	Pancreas, gallbladder	0.013740458015267175	cfdna
Bladder	No	Bladder, urothelial	Female	Pancreas, gallbladder	0.013157894736842108	cfdna
Bladder	No	Bladder, urothelial	Male	Plasma cell neoplasm	0.004218561671353958	cfdna
Bladder	No	Bladder, urothelial	Female	Plasma cell neoplasm	0.004039704524469069	cfdna
Bladder	No	Bladder, urothelial	Male	Prostate	0.005544395339493772	cfdna
Bladder	No	Bladder, urothelial	Female	Prostate	0	cfdna
Bladder	No	Bladder, urothelial	Male	Stomach, esophagus	0.012294094013660106	cfdna
Bladder	No	Bladder, urothelial	Female	Stomach, esophagus	0.011772853185595572	cfdna
Bladder	No	Bladder, urothelial	Male	Thyroid gland	1.2053033346725595e-4	cfdna
Bladder	No	Bladder, urothelial	Female	Thyroid gland	1.1542012927054482e-4	cfdna
Bladder	No	Bladder, urothelial	Male	Uterus	0	cfdna
Bladder	No	Bladder, urothelial	Female	Uterus	0.00646352723915051	cfdna
Breast	NotExpected	Breast	Male	Anus	3.1099802092168517e-4	cfdna
Breast	NotExpected	Breast	Female	Anus	2.9418057338468127e-4	cfdna
Breast	NotExpected	Breast	Male	Bladder, urothelial	2.261803788521347e-4	cfdna
Breast	NotExpected	Breast	Female	Bladder, urothelial	2.1394950791613182e-4	cfdna
Breast	NotExpected	Breast	Male	Bone and soft tissue	2.4031665253039308e-4	cfdna
Breast	NotExpected	Breast	Female	Bone and soft tissue	2.2732135216089005e-4	cfdna
Breast	NotExpected	Breast	Male	Breast	0.9590519272453119	cfdna
Breast	NotExpected	Breast	Female	Breast	0.9472614462986736	cfdna
Breast	NotExpected	Breast	Male	Cervix	0	cfdna
Breast	NotExpected	Breast	Female	Cervix	1.0697475395806591e-4	cfdna
Breast	NotExpected	Breast	Male	Colon, rectum	0.01486193572707568	cfdna
Breast	NotExpected	Breast	Female	Colon, rectum	0.014575310226786478	cfdna
