Sex	Exposure	Lower	Upper	SEER_Draw	NET	Stage	Rate
Male	Any	40	44	Anus	NotExpected	I	0.36413117651976273
Male	Current	40	44	Anus	NotExpected	I	0.36413117651976273
Male	Former	40	44	Anus	NotExpected	I	0.36413117651976273
Male	Never	40	44	Anus	NotExpected	I	0.36413117651976273
Male	Any	40	44	Anus	NotExpected	II	0.47033610300469353
Male	Current	40	44	Anus	NotExpected	II	0.47033610300469353
Male	Former	40	44	Anus	NotExpected	II	0.47033610300469353
Male	Never	40	44	Anus	NotExpected	II	0.47033610300469353
Male	Any	40	44	Anus	NotExpected	III	0.4349344608430499
Male	Current	40	44	Anus	NotExpected	III	0.4349344608430499
Male	Former	40	44	Anus	NotExpected	III	0.4349344608430499
Male	Never	40	44	Anus	NotExpected	III	0.4349344608430499
Male	Any	40	44	Anus	NotExpected	IV	0.11631968138825753
Male	Current	40	44	Anus	NotExpected	IV	0.11631968138825753
Male	Former	40	44	Anus	NotExpected	IV	0.11631968138825753
Male	Never	40	44	Anus	NotExpected	IV	0.11631968138825753
Male	Any	40	44	Bladder	No	I	0.7707409869244679
Male	Current	40	44	Bladder	No	I	1.5299173676951783
Male	Former	40	44	Bladder	No	I	0.9297190157532241
Male	Never	40	44	Bladder	No	I	0.3922865045372253
Male	Any	40	44	Bladder	No	II	0.2967352799659201
Male	Current	40	44	Bladder	No	II	0.5890181865626435
Male	Former	40	44	Bladder	No	II	0.3579418210649912
Male	Never	40	44	Bladder	No	II	0.1510303042468317
Male	Any	40	44	Bladder	No	III	0.11561114803867016
Male	Current	40	44	Bladder	No	III	0.22948760515427669
Male	Former	40	44	Bladder	No	III	0.13945785236298358
Male	Never	40	44	Bladder	No	III	0.05884297568058378
Male	Any	40	44	Bladder	No	IV	0.3352723293121435
Male	Current	40	44	Bladder	No	IV	0.6655140549474026
Male	Former	40	44	Bladder	No	IV	0.40442777185265244
Male	Never	40	44	Bladder	No	IV	0.170644629473693
Male	Any	40	44	Bladder	NET	I	0.0046539762275592395
Male	Current	40	44	Bladder	NET	I	0.009238121729837552
Male	Former	40	44	Bladder	NET	I	0.005613935512747438
Male	Never	40	44	Bladder	NET	I	0.002368749161496809
Male	Any	40	44	Bladder	NET	II	0.0046539762275592395
Male	Current	40	44	Bladder	NET	II	0.009238121729837552
Male	Former	40	44	Bladder	NET	II	0.005613935512747438
Male	Never	40	44	Bladder	NET	II	0.002368749161496809
Male	Any	40	44	Bladder	NET	III	0
Male	Current	40	44	Bladder	NET	III	0
Male	Former	40	44	Bladder	NET	III	0
Male	Never	40	44	Bladder	NET	III	0
Male	Any	40	44	Bladder	NET	IV	0.0046539762275592395
Male	Current	40	44	Bladder	NET	IV	0.009238121729837552
Male	Former	40	44	Bladder	NET	IV	0.005613935512747438
Male	Never	40	44	Bladder	NET	IV	0.002368749161496809
Male	Any	40	44	Breast	NotExpected	I	0.11611901082623051
Male	Current	40	44	Breast	NotExpected	I	0.11611901082623051
Male	Former	40	44	Breast	NotExpected	I	0.11611901082623051
Male	Never	40	44	Breast	NotExpected	I	0.11611901082623051
Male	Any	40	44	Breast	NotExpected	II	0.16256661515672274
Male	Current	40	44	Breast	NotExpected	II	0.16256661515672274
Male	Former	40	44	Breast	NotExpected	II	0.16256661515672274
Male	Never	40	44	Breast	NotExpected	II	0.16256661515672274
Male	Any	40	44	Breast	NotExpected	III	0.061930139107322944
Male	Current	40	44	Breast	NotExpected	III	0.061930139107322944
Male	Former	40	44	Breast	NotExpected	III	0.061930139107322944
Male	Never	40	44	Breast	NotExpected	III	0.061930139107322944
Male	Any	40	44	Breast	NotExpected	IV	0.050318238024699896
Male	Current	40	44	Breast	NotExpected	IV	0.050318238024699896
Male	Former	40	44	Breast	NotExpected	IV	0.050318238024699896
Male	Never	40	44	Breast	NotExpected	IV	0.050318238024699896
Male	Any	40	44	Cervix	No	I	0
Male	Current	40	44	Cervix	No	I	0
Male	Former	40	44	Cervix	No	I	0
Male	Never	40	44	Cervix	No	I	0
Male	Any	40	44	Cervix	No	II	0
Male	Current	40	44	Cervix	No	II	0
Male	Former	40	44	Cervix	No	II	0
Male	Never	40	44	Cervix	No	II	0
Male	Any	40	44	Cervix	No	III	0
Male	Current	40	44	Cervix	No	III	0
Male	Former	40	44	Cervix	No	III	0
Male	Never	40	44	Cervix	No	III	0
Male	Any	40	44	Cervix	No	IV	0
Male	Current	40	44	Cervix	No	IV	0
Male	Former	40	44	Cervix	No	IV	0
Male	Never	40	44	Cervix	No	IV	0
Male	Any	40	44	Cervix	NET	I	0
Male	Current	40	44	Cervix	NET	I	0
Male	Former	40	44	Cervix	NET	I	0
Male	Never	40	44	Cervix	NET	I	0
Male	Any	40	44	Cervix	NET	II	0
Male	Current	40	44	Cervix	NET	II	0
Male	Former	40	44	Cervix	NET	II	0
Male	Never	40	44	Cervix	NET	II	0
Male	Any	40	44	Cervix	NET	III	0
Male	Current	40	44	Cervix	NET	III	0
Male	Former	40	44	Cervix	NET	III	0
Male	Never	40	44	Cervix	NET	III	0
Male	Any	40	44	Cervix	NET	IV	0
Male	Current	40	44	Cervix	NET	IV	0
Male	Former	40	44	Cervix	NET	IV	0
Male	Never	40	44	Cervix	NET	IV	0
Male	Any	40	44	Colon/Rectum	No	I	2.933387376968096
Male	Current	40	44	Colon/Rectum	No	I	3.827369687394648
Male	Former	40	44	Colon/Rectum	No	I	3.0416182946182624
Male	Never	40	44	Colon/Rectum	No	I	2.5346819121818855
Male	Any	40	44	Colon/Rectum	No	II	3.9111831692907946
Male	Current	40	44	Colon/Rectum	No	II	5.103159583192864
Male	Former	40	44	Colon/Rectum	No	II	4.0554910594910165
Male	Never	40	44	Colon/Rectum	No	II	3.3795758829091804
Male	Any	40	44	Colon/Rectum	No	III	5.854994081739533
Male	Current	40	44	Colon/Rectum	No	III	7.639368412189317
Male	Former	40	44	Colon/Rectum	No	III	6.071021254719985
Male	Never	40	44	Colon/Rectum	No	III	5.059184378933322
Male	Any	40	44	Colon/Rectum	No	IV	4.7319033323247055
Male	Current	40	44	Colon/Rectum	No	IV	6.174003310991365
Male	Former	40	44	Colon/Rectum	No	IV	4.90649269747658
Male	Never	40	44	Colon/Rectum	No	IV	4.088743914563818
Male	Any	40	44	Colon/Rectum	NET	I	0.06336112550486371
Male	Current	40	44	Colon/Rectum	NET	I	0.08267113065959061
Male	Former	40	44	Colon/Rectum	NET	I	0.0656989117824561
Male	Never	40	44	Colon/Rectum	NET	I	0.054749093152046756
Male	Any	40	44	Colon/Rectum	NET	II	0.022362750178187195
Male	Current	40	44	Colon/Rectum	NET	II	0.029178046115149632
Male	Former	40	44	Colon/Rectum	NET	II	0.02318785121733745
Male	Never	40	44	Colon/Rectum	NET	II	0.01932320934778121
Male	Any	40	44	Colon/Rectum	NET	III	0.018635625148489324
Male	Current	40	44	Colon/Rectum	NET	III	0.024315038429291353
Male	Former	40	44	Colon/Rectum	NET	III	0.019323209347781204
Male	Never	40	44	Colon/Rectum	NET	III	0.016102674456484337
Male	Any	40	44	Colon/Rectum	NET	IV	0.1155408759206338
Male	Current	40	44	Colon/Rectum	NET	IV	0.1507532382616064
Male	Former	40	44	Colon/Rectum	NET	IV	0.11980389795624345
Male	Never	40	44	Colon/Rectum	NET	IV	0.0998365816302029
Male	Any	40	44	Esophagus	No	I	0.10926238558910525
