positive_type	Expected CSO	Predicted CSO	N
tp	Anus	Anus	14
tp	Anus	Bladder, urothelial	0
tp	Anus	Bone and soft tissue	0
tp	Anus	Breast	0
tp	Anus	Cervix	0
tp	Anus	Colon, rectum	0
tp	Anus	Head and neck	3
tp	Anus	Kidney	0
tp	Anus	Liver, bile duct	0
tp	Anus	Lung	0
tp	Anus	Lymphoid lineage	0
tp	Anus	Melanocytic lineage	0
tp	Anus	Myeloid lineage	0
tp	Anus	Neuroendocrine cells	0
tp	Anus	Ovary	0
tp	Anus	Pancreas, gallbladder	0
tp	Anus	Plasma cell neoplasm	0
tp	Anus	Prostate	0
tp	Anus	Stomach, esophagus	1
tp	Anus	Thyroid gland	0
tp	Anus	Uterus	0
tp	Bladder, urothelial	Anus	0
tp	Bladder, urothelial	Bladder, urothelial	14
tp	Bladder, urothelial	Bone and soft tissue	0
tp	Bladder, urothelial	Breast	0
tp	Bladder, urothelial	Cervix	0
tp	Bladder, urothelial	Colon, rectum	0
tp	Bladder, urothelial	Head and neck	0
tp	Bladder, urothelial	Kidney	0
tp	Bladder, urothelial	Liver, bile duct	0
tp	Bladder, urothelial	Lung	2
tp	Bladder, urothelial	Lymphoid lineage	0
tp	Bladder, urothelial	Melanocytic lineage	0
tp	Bladder, urothelial	Myeloid lineage	0
tp	Bladder, urothelial	Neuroendocrine cells	0
tp	Bladder, urothelial	Ovary	0
tp	Bladder, urothelial	Pancreas, gallbladder	0
tp	Bladder, urothelial	Plasma cell neoplasm	0
tp	Bladder, urothelial	Prostate	0
tp	Bladder, urothelial	Stomach, esophagus	0
tp	Bladder, urothelial	Thyroid gland	0
tp	Bladder, urothelial	Uterus	0
tp	Bone and soft tissue	Anus	0
tp	Bone and soft tissue	Bladder, urothelial	0
tp	Bone and soft tissue	Bone and soft tissue	12
tp	Bone and soft tissue	Breast	0
tp	Bone and soft tissue	Cervix	0
tp	Bone and soft tissue	Colon, rectum	0
tp	Bone and soft tissue	Head and neck	0
tp	Bone and soft tissue	Kidney	1
tp	Bone and soft tissue	Liver, bile duct	2
tp	Bone and soft tissue	Lung	0
tp	Bone and soft tissue	Lymphoid lineage	2
tp	Bone and soft tissue	Melanocytic lineage	0
tp	Bone and soft tissue	Myeloid lineage	0
tp	Bone and soft tissue	Neuroendocrine cells	0
tp	Bone and soft tissue	Ovary	0
tp	Bone and soft tissue	Pancreas, gallbladder	0
tp	Bone and soft tissue	Plasma cell neoplasm	0
tp	Bone and soft tissue	Prostate	0
tp	Bone and soft tissue	Stomach, esophagus	0
tp	Bone and soft tissue	Thyroid gland	0
tp	Bone and soft tissue	Uterus	1
tp	Breast	Anus	0
tp	Breast	Bladder, urothelial	0
tp	Breast	Bone and soft tissue	0
tp	Breast	Breast	155
tp	Breast	Cervix	0
tp	Breast	Colon, rectum	2
tp	Breast	Head and neck	0
tp	Breast	Kidney	0
tp	Breast	Liver, bile duct	0
tp	Breast	Lung	1
tp	Breast	Lymphoid lineage	0
tp	Breast	Melanocytic lineage	0
tp	Breast	Myeloid lineage	0
tp	Breast	Neuroendocrine cells	0
tp	Breast	Ovary	0
tp	Breast	Pancreas, gallbladder	1
tp	Breast	Plasma cell neoplasm	0
tp	Breast	Prostate	0
tp	Breast	Stomach, esophagus	0
tp	Breast	Thyroid gland	0
tp	Breast	Uterus	1
tp	Cervix	Anus	7
tp	Cervix	Bladder, urothelial	0
tp	Cervix	Bone and soft tissue	0
tp	Cervix	Breast	0
tp	Cervix	Cervix	7
tp	Cervix	Colon, rectum	0
tp	Cervix	Head and neck	6
tp	Cervix	Kidney	0
tp	Cervix	Liver, bile duct	0
tp	Cervix	Lung	0
tp	Cervix	Lymphoid lineage	0
tp	Cervix	Melanocytic lineage	0
tp	Cervix	Myeloid lineage	0
tp	Cervix	Neuroendocrine cells	0
tp	Cervix	Ovary	0
tp	Cervix	Pancreas, gallbladder	0
tp	Cervix	Plasma cell neoplasm	0
tp	Cervix	Prostate	0
tp	Cervix	Stomach, esophagus	0
tp	Cervix	Thyroid gland	0
tp	Cervix	Uterus	0
tp	Colon, rectum	Anus	0
tp	Colon, rectum	Bladder, urothelial	0
tp	Colon, rectum	Bone and soft tissue	0
tp	Colon, rectum	Breast	1
tp	Colon, rectum	Cervix	0
tp	Colon, rectum	Colon, rectum	164
tp	Colon, rectum	Head and neck	0
tp	Colon, rectum	Kidney	0
tp	Colon, rectum	Liver, bile duct	0
tp	Colon, rectum	Lung	0
tp	Colon, rectum	Lymphoid lineage	1
