Sex	Lower	Upper	SEER_Draw	Stage	IR	N	Pop	Rate	NET
Male	40	44	Anus	I	0.25	72	28649337	0.2513147162881989	NotExpected
Male	40	44	Anus	II	0.32	93	28649337	0.3246148418722569	NotExpected
Male	40	44	Anus	III	0.3	86	28649337	0.3001814666775709	NotExpected
Male	40	44	Anus	IV	0.08	23	28649337	0.08028108992539687	NotExpected
Male	40	44	Anus	Unknown/missing	0.43	123	28649337	0.42932930699233984	NotExpected
Male	40	44	Bladder	I	0.7	200	28649337	0.6980964341338859	No
Male	40	44	Bladder	II	0.27	77	28649337	0.26876712714154605	No
Male	40	44	Bladder	III	0.1	30	28649337	0.10471446512008287	No
Male	40	44	Bladder	IV	0.3	87	28649337	0.30367194884824034	No
Male	40	44	Bladder	Unknown/missing	0.14	41	28649337	0.1431097689974466	No
Male	40	44	Bladder	I	0	1	28649337	0.003490482170669429	NET
Male	40	44	Bladder	II	0	1	28649337	0.003490482170669429	NET
Male	40	44	Bladder	III	0	0	28649337	0	NET
Male	40	44	Bladder	IV	0	1	28649337	0.003490482170669429	NET
Male	40	44	Bladder	Unknown/missing	0	1	28649337	0.003490482170669429	NET
Male	40	44	Breast	I	0.1	30	28649337	0.10471446512008287	NotExpected
Male	40	44	Breast	II	0.15	42	28649337	0.14660025116811604	NotExpected
Male	40	44	Breast	III	0.06	16	28649337	0.055847714730710867	NotExpected
Male	40	44	Breast	IV	0.05	13	28649337	0.04537626821870258	NotExpected
Male	40	44	Breast	Unknown/missing	0.04	11	28649337	0.03839530387736372	NotExpected
Male	40	44	Cervix	I	0	0	28649337	0	No
Male	40	44	Cervix	II	0	0	28649337	0	No
Male	40	44	Cervix	III	0	0	28649337	0	No
Male	40	44	Cervix	IV	0	0	28649337	0	No
Male	40	44	Cervix	Unknown/missing	0	0	28649337	0	No
Male	40	44	Cervix	I	0	0	28649337	0	NET
Male	40	44	Cervix	II	0	0	28649337	0	NET
Male	40	44	Cervix	III	0	0	28649337	0	NET
Male	40	44	Cervix	IV	0	0	28649337	0	NET
Male	40	44	Cervix	Unknown/missing	0	0	28649337	0	NET
Male	40	44	Colon/Rectum	I	2.61	747	28649337	2.607390181490064	No
Male	40	44	Colon/Rectum	II	3.48	996	28649337	3.476520241986752	No
Male	40	44	Colon/Rectum	III	5.2	1491	28649337	5.204308916468119	No
Male	40	44	Colon/Rectum	IV	4.21	1205	28649337	4.206031015656662	No
Male	40	44	Colon/Rectum	Unknown/missing	1.94	555	28649337	1.9372176047215333	No
Male	40	44	Colon/Rectum	I	0.06	17	28649337	0.0593381969013803	NET
Male	40	44	Colon/Rectum	II	0.02	6	28649337	0.020942893024016578	NET
Male	40	44	Colon/Rectum	III	0.02	5	28649337	0.017452410853347148	NET
Male	40	44	Colon/Rectum	IV	0.11	31	28649337	0.1082049472907523	NET
Male	40	44	Colon/Rectum	Unknown/missing	0.01	4	28649337	0.013961928682677717	NET
Male	40	44	Esophagus	I	0.1	28	28649337	0.09773350077874403	No
Male	40	44	Esophagus	II	0.2	58	28649337	0.20244796589882688	No
Male	40	44	Esophagus	III	0.32	93	28649337	0.3246148418722569	No
Male	40	44	Esophagus	IV	0.68	194	28649337	0.6771535411098693	No
Male	40	44	Esophagus	Unknown/missing	0.15	44	28649337	0.1535812155094549	No
Male	40	44	Esophagus	I	0	0	28649337	0	NET
Male	40	44	Esophagus	II	0.01	2	28649337	0.006980964341338858	NET
Male	40	44	Esophagus	III	0	1	28649337	0.003490482170669429	NET
Male	40	44	Esophagus	IV	0.01	4	28649337	0.013961928682677717	NET
Male	40	44	Esophagus	Unknown/missing	0	0	28649337	0	NET
Male	40	44	Gallbladder	I	0.1	29	28649337	0.10122398294941344	No
Male	40	44	Gallbladder	II	0.14	40	28649337	0.13961928682677718	No
Male	40	44	Gallbladder	III	0.11	31	28649337	0.1082049472907523	No
Male	40	44	Gallbladder	IV	0.25	72	28649337	0.2513147162881989	No
Male	40	44	Gallbladder	Unknown/missing	0.11	31	28649337	0.1082049472907523	No
Male	40	44	Gallbladder	I	0	0	28649337	0	NET
Male	40	44	Gallbladder	II	0.01	2	28649337	0.006980964341338858	NET
Male	40	44	Gallbladder	III	0	0	28649337	0	NET
Male	40	44	Gallbladder	IV	0	1	28649337	0.003490482170669429	NET
Male	40	44	Gallbladder	Unknown/missing	0.02	5	28649337	0.017452410853347148	NET
Male	40	44	Head and Neck	I	1.78	510	28649337	1.780145907041409	No
Male	40	44	Head and Neck	II	1.02	292	28649337	1.0192207938354734	No
Male	40	44	Head and Neck	III	1.41	404	28649337	1.4101547969504495	No
Male	40	44	Head and Neck	IV	4.24	1216	28649337	4.244426319534026	No
Male	40	44	Head and Neck	Unknown/missing	1.33	380	28649337	1.3263832248543832	No
Male	40	44	Head and Neck	I	0.01	3	28649337	0.010471446512008289	NET
Male	40	44	Head and Neck	II	0	1	28649337	0.003490482170669429	NET
Male	40	44	Head and Neck	III	0.01	4	28649337	0.013961928682677717	NET
Male	40	44	Head and Neck	IV	0.03	10	28649337	0.034904821706694296	NET
Male	40	44	Head and Neck	Unknown/missing	0.01	2	28649337	0.006980964341338858	NET
Male	40	44	Kidney	I	7.48	2142	28649337	7.476612809573918	NotExpected
Male	40	44	Kidney	II	1.25	357	28649337	1.2461021349289862	NotExpected
Male	40	44	Kidney	III	1.17	335	28649337	1.169311527174259	NotExpected
Male	40	44	Kidney	IV	1.16	332	28649337	1.1588400806622505	NotExpected
Male	40	44	Kidney	Unknown/missing	0.39	113	28649337	0.39442448528564555	NotExpected
Male	40	44	Liver/Bile-duct	I	0.72	206	28649337	0.7190393271579024	NotExpected
Male	40	44	Liver/Bile-duct	II	0.31	90	28649337	0.31414339536024866	NotExpected
Male	40	44	Liver/Bile-duct	III	0.63	180	28649337	0.6282867907204973	NotExpected
Male	40	44	Liver/Bile-duct	IV	0.51	147	28649337	0.5131008790884062	NotExpected
Male	40	44	Liver/Bile-duct	Unknown/missing	0.55	159	28649337	0.55498666513643935	NotExpected
Male	40	44	Lung	I	0.57	164	28649337	0.5724390759897864	No
Male	40	44	Lung	II	0.18	51	28649337	0.1780145907041409	No
Male	40	44	Lung	III	1.27	365	28649337	1.2740259922943418	No
Male	40	44	Lung	IV	3.28	941	28649337	3.284543722599933	No
Male	40	44	Lung	Unknown/missing	0.49	139	28649337	0.4851770217230507	No
Male	40	44	Lung	I	0.05	13	28649337	0.04537626821870258	NET
Male	40	44	Lung	II	0.02	5	28649337	0.017452410853347148	NET
Male	40	44	Lung	III	0.27	77	28649337	0.26876712714154605	NET
Male	40	44	Lung	IV	0.58	165	28649337	0.5759295581604559	NET
Male	40	44	Lung	Unknown/missing	0.31	90	28649337	0.31414339536024866	NET
Male	40	44	Lymphoma	I	3.99	1142	28649337	3.986130638904488	NotExpected
Male	40	44	Lymphoma	II	2.96	848	28649337	2.9599288807276762	NotExpected
Male	40	44	Lymphoma	III	2.46	705	28649337	2.4607899303219476	NotExpected
Male	40	44	Lymphoma	IV	4.46	1277	28649337	4.457345731944861	NotExpected
Male	40	44	Lymphoma	Unknown/missing	1.12	322	28649337	1.1239352589555562	NotExpected
Male	40	44	Lymphoid Leukemia	I	0.06	16	28649337	0.055847714730710867	NotExpected
Male	40	44	Lymphoid Leukemia	II	0.03	8	28649337	0.027923857365355433	NotExpected
Male	40	44	Lymphoid Leukemia	III	0.04	11	28649337	0.03839530387736372	NotExpected
Male	40	44	Lymphoid Leukemia	IV	0.18	53	28649337	0.18499555504547976	NotExpected
Male	40	44	Lymphoid Leukemia	Unknown/missing	2.51	719	28649337	2.50965668071132	NotExpected
Male	40	44	Melanoma	I	10.72	3071	28649337	10.719270746125819	NotExpected
Male	40	44	Melanoma	II	1.25	358	28649337	1.2495926170996559	NotExpected
Male	40	44	Melanoma	III	1.44	413	28649337	1.4415691364864742	NotExpected
Male	40	44	Melanoma	IV	0.52	148	28649337	0.5165913612590756	NotExpected
Male	40	44	Melanoma	Unknown/missing	1.47	420	28649337	1.4660025116811604	NotExpected
Male	40	44	Myeloid Neoplasm	I	0	0	28649337	0	NotExpected
Male	40	44	Myeloid Neoplasm	II	0	0	28649337	0	NotExpected
Male	40	44	Myeloid Neoplasm	III	0	0	28649337	0	NotExpected
Male	40	44	Myeloid Neoplasm	IV	0	0	28649337	0	NotExpected
Male	40	44	Myeloid Neoplasm	Unknown/missing	4.09	1173	28649337	4.094335586195241	NotExpected
Male	40	44	Plasma Cell Neoplasm	I	0	0	28649337	0	NotExpected
Male	40	44	Plasma Cell Neoplasm	II	0	0	28649337	0	NotExpected
Male	40	44	Plasma Cell Neoplasm	III	0	0	28649337	0	NotExpected
Male	40	44	Plasma Cell Neoplasm	IV	0	0	28649337	0	NotExpected
Male	40	44	Plasma Cell Neoplasm	Unknown/missing	2.42	692	28649337	2.415413662103245	NotExpected
Male	40	44	Ovary	I	0.01	2	28649337	0.006980964341338858	NotExpected
Male	40	44	Ovary	II	0	0	28649337	0	NotExpected
Male	40	44	Ovary	III	0	0	28649337	0	NotExpected
Male	40	44	Ovary	IV	0	0	28649337	0	NotExpected
Male	40	44	Ovary	Unknown/missing	0.02	7	28649337	0.024433375194686007	NotExpected
Male	40	44	Pancreas	I	0.09	27	28649337	0.09424301860807459	No
Male	40	44	Pancreas	II	0.5	144	28649337	0.5026294325763978	No
Male	40	44	Pancreas	III	0.27	78	28649337	0.2722576093122155	No
Male	40	44	Pancreas	IV	1.14	327	28649337	1.1413876698089034	No
Male	40	44	Pancreas	Unknown/missing	0.5	142	28649337	0.4956484682350589	No
Male	40	44	Pancreas	I	0.07	20	28649337	0.06980964341338859	NET
Male	40	44	Pancreas	II	0.09	25	28649337	0.08726205426673574	NET
Male	40	44	Pancreas	III	0.01	2	28649337	0.006980964341338858	NET
Male	40	44	Pancreas	IV	0.16	45	28649337	0.15707169768012433	NET
Male	40	44	Pancreas	Unknown/missing	0.01	3	28649337	0.010471446512008289	NET
Male	40	44	Prostate	I	0	1	28649337	0.003490482170669429	NotExpected
Male	40	44	Prostate	II	7.5	2148	28649337	7.497555702597935	NotExpected
Male	40	44	Prostate	III	0.56	161	28649337	0.5619676294777781	NotExpected
Male	40	44	Prostate	IV	0.6	173	28649337	0.6038534155258113	NotExpected
Male	40	44	Prostate	Unknown/missing	0.46	132	28649337	0.46074364652836464	NotExpected
Male	40	44	Sarcoma	I	0.98	282	28649337	0.9843159721287791	NotExpected
Male	40	44	Sarcoma	II	0.41	117	28649337	0.40838641396832326	NotExpected
Male	40	44	Sarcoma	III	0.39	111	28649337	0.3874435209443067	NotExpected
Male	40	44	Sarcoma	IV	0.51	145	28649337	0.5061199147470673	NotExpected
Male	40	44	Sarcoma	Unknown/missing	4.2	1204	28649337	4.202540533485993	NotExpected
Male	40	44	Stomach	I	0.4	116	28649337	0.40489593179765376	No
Male	40	44	Stomach	II	0.32	92	28649337	0.3211243597015875	No
Male	40	44	Stomach	III	0.32	92	28649337	0.3211243597015875	No
Male	40	44	Stomach	IV	1.53	437	28649337	1.5253407085825406	No
Male	40	44	Stomach	Unknown/missing	0.71	202	28649337	0.7050773984752248	No
Male	40	44	Stomach	I	0.02	7	28649337	0.024433375194686007	NET
Male	40	44	Stomach	II	0.01	4	28649337	0.013961928682677717	NET
Male	40	44	Stomach	III	0	0	28649337	0	NET
Male	40	44	Stomach	IV	0.02	6	28649337	0.020942893024016578	NET
Male	40	44	Stomach	Unknown/missing	0.01	2	28649337	0.006980964341338858	NET
Male	40	44	Thyroid	I	7.75	2221	28649337	7.752360901056803	NotExpected
Male	40	44	Thyroid	II	0.14	39	28649337	0.13612880465610774	NotExpected
Male	40	44	Thyroid	III	0.01	4	28649337	0.013961928682677717	NotExpected
Male	40	44	Thyroid	IV	0.13	38	28649337	0.1326383224854383	NotExpected
Male	40	44	Thyroid	Unknown/missing	0.24	70	28649337	0.24433375194686005	NotExpected
Male	40	44	Urothelial Tract	I	0.08	22	28649337	0.07679060775472744	No
Male	40	44	Urothelial Tract	II	0.05	14	28649337	0.048866750389372014	No
Male	40	44	Urothelial Tract	III	0.09	25	28649337	0.08726205426673574	No
Male	40	44	Urothelial Tract	IV	0.08	22	28649337	0.07679060775472744	No
Male	40	44	Urothelial Tract	Unknown/missing	0.03	8	28649337	0.027923857365355433	No
Male	40	44	Urothelial Tract	I	0	0	28649337	0	NET
Male	40	44	Urothelial Tract	II	0	0	28649337	0	NET
Male	40	44	Urothelial Tract	III	0	0	28649337	0	NET
Male	40	44	Urothelial Tract	IV	0	0	28649337	0	NET
Male	40	44	Urothelial Tract	Unknown/missing	0	0	28649337	0	NET
Male	40	44	Uterus	I	0	0	28649337	0	No
Male	40	44	Uterus	II	0	0	28649337	0	No
Male	40	44	Uterus	III	0	0	28649337	0	No
Male	40	44	Uterus	IV	0	0	28649337	0	No
Male	40	44	Uterus	Unknown/missing	0	0	28649337	0	No
Male	40	44	Uterus	I	0	0	28649337	0	NET
Male	40	44	Uterus	II	0	0	28649337	0	NET
Male	40	44	Uterus	III	0	0	28649337	0	NET
Male	40	44	Uterus	IV	0	0	28649337	0	NET
Male	40	44	Uterus	Unknown/missing	0	0	28649337	0	NET
Male	40	44	CUP	I	0	0	28649337	0	NotExpected
Male	40	44	CUP	II	0	0	28649337	0	NotExpected
Male	40	44	CUP	III	0	0	28649337	0	NotExpected
Male	40	44	CUP	IV	0	0	28649337	0	NotExpected
Male	40	44	CUP	Unknown/missing	1.64	470	28649337	1.6405266202146318	NotExpected
Male	40	44	Brain	I	0	0	28649337	0	NotExpected
Male	40	44	Brain	II	0	0	28649337	0	NotExpected
Male	40	44	Brain	III	0	0	28649337	0	NotExpected
Male	40	44	Brain	IV	0	0	28649337	0	NotExpected
Male	40	44	Brain	Unknown/missing	5.04	1443	28649337	5.036765772275987	NotExpected
Male	40	44	[OTHER]	I	6.29	1802	28649337	6.289848871546313	NotExpected
Male	40	44	[OTHER]	II	1.23	353	28649337	1.2321402062463085	NotExpected
Male	40	44	[OTHER]	III	1.33	382	28649337	1.3333641891957222	NotExpected
Male	40	44	[OTHER]	IV	0.25	72	28649337	0.2513147162881989	NotExpected
Male	40	44	[OTHER]	Unknown/missing	5.63	1614	28649337	5.6336382234604585	NotExpected
Male	45	49	Anus	I	0.51	150	29245418	0.5129008585208117	NotExpected
Male	45	49	Anus	II	0.58	170	29245418	0.58128763965692	NotExpected
Male	45	49	Anus	III	0.61	177	29245418	0.6052230130545578	NotExpected
Male	45	49	Anus	IV	0.21	60	29245418	0.20516034340832467	NotExpected
Male	45	49	Anus	Unknown/missing	0.73	213	29245418	0.7283192190995527	NotExpected
Male	45	49	Bladder	I	1.83	534	29245418	1.8259270563340897	No
Male	45	49	Bladder	II	0.69	201	29245418	0.6872871504178877	No
Male	45	49	Bladder	III	0.29	86	29245418	0.2940631588852654	No
Male	45	49	Bladder	IV	0.76	223	29245418	0.7625126096676068	No
Male	45	49	Bladder	Unknown/missing	0.27	80	29245418	0.2735471245444329	No
Male	45	49	Bladder	I	0.01	2	29245418	0.006838678113610823	NET
Male	45	49	Bladder	II	0	1	29245418	0.0034193390568054115	NET
Male	45	49	Bladder	III	0.01	3	29245418	0.010258017170416234	NET
Male	45	49	Bladder	IV	0.03	10	29245418	0.034193390568054115	NET
Male	45	49	Bladder	Unknown/missing	0	1	29245418	0.0034193390568054115	NET
Male	45	49	Breast	I	0.19	55	29245418	0.18806364812429763	NotExpected
Male	45	49	Breast	II	0.26	77	29245418	0.2632891073740167	NotExpected
Male	45	49	Breast	III	0.09	26	29245418	0.08890281547694069	NotExpected
Male	45	49	Breast	IV	0.08	23	29245418	0.07864479830652446	NotExpected
Male	45	49	Breast	Unknown/missing	0.04	11	29245418	0.03761272962485952	NotExpected
Male	45	49	Cervix	I	0	0	29245418	0	No
Male	45	49	Cervix	II	0	0	29245418	0	No
Male	45	49	Cervix	III	0	0	29245418	0	No
Male	45	49	Cervix	IV	0	0	29245418	0	No
Male	45	49	Cervix	Unknown/missing	0	0	29245418	0	No
Male	45	49	Cervix	I	0	0	29245418	0	NET
Male	45	49	Cervix	II	0	0	29245418	0	NET
Male	45	49	Cervix	III	0	0	29245418	0	NET
Male	45	49	Cervix	IV	0	0	29245418	0	NET
Male	45	49	Cervix	Unknown/missing	0	0	29245418	0	NET
Male	45	49	Colon/Rectum	I	5.08	1486	29245418	5.081137838412841	No
Male	45	49	Colon/Rectum	II	6.44	1882	29245418	6.435196104907784	No
Male	45	49	Colon/Rectum	III	9.08	2656	29245418	9.081764534875173	No
Male	45	49	Colon/Rectum	IV	8.15	2384	29245418	8.151704311424101	No
Male	45	49	Colon/Rectum	Unknown/missing	3.17	927	29245418	3.169727305658616	No
Male	45	49	Colon/Rectum	I	0.09	26	29245418	0.08890281547694069	NET
Male	45	49	Colon/Rectum	II	0.02	7	29245418	0.02393537339763788	NET
Male	45	49	Colon/Rectum	III	0.04	13	29245418	0.044451407738470346	NET
Male	45	49	Colon/Rectum	IV	0.18	53	29245418	0.1812249700106868	NET
Male	45	49	Colon/Rectum	Unknown/missing	0.03	10	29245418	0.034193390568054115	NET
Male	45	49	Esophagus	I	0.42	122	29245418	0.4171593649302602	No
Male	45	49	Esophagus	II	0.59	172	29245418	0.5881263177705308	No
Male	45	49	Esophagus	III	0.75	220	29245418	0.7522545924971905	No
Male	45	49	Esophagus	IV	1.8	526	29245418	1.7985723438796464	No
Male	45	49	Esophagus	Unknown/missing	0.41	121	29245418	0.4137400258734548	No
Male	45	49	Esophagus	I	0	0	29245418	0	NET
Male	45	49	Esophagus	II	0	0	29245418	0	NET
Male	45	49	Esophagus	III	0.01	3	29245418	0.010258017170416234	NET
Male	45	49	Esophagus	IV	0.02	7	29245418	0.02393537339763788	NET
Male	45	49	Esophagus	Unknown/missing	0	0	29245418	0	NET
Male	45	49	Gallbladder	I	0.23	68	29245418	0.23251505586276797	No
Male	45	49	Gallbladder	II	0.35	101	29245418	0.3453532447373465	No
Male	45	49	Gallbladder	III	0.13	39	29245418	0.13335422321541104	No
Male	45	49	Gallbladder	IV	0.44	128	29245418	0.43767539927109267	No
Male	45	49	Gallbladder	Unknown/missing	0.12	35	29245418	0.1196768669881894	No
Male	45	49	Gallbladder	I	0	1	29245418	0.0034193390568054115	NET
Male	45	49	Gallbladder	II	0	1	29245418	0.0034193390568054115	NET
Male	45	49	Gallbladder	III	0	0	29245418	0	NET
Male	45	49	Gallbladder	IV	0	1	29245418	0.0034193390568054115	NET
Male	45	49	Gallbladder	Unknown/missing	0.01	2	29245418	0.006838678113610823	NET
Male	45	49	Head and Neck	I	3.25	951	29245418	3.251791443021946	No
Male	45	49	Head and Neck	II	2.13	624	29245418	2.1336675714465767	No
Male	45	49	Head and Neck	III	2.92	854	29245418	2.9201155545118214	No
Male	45	49	Head and Neck	IV	9.85	2880	29245418	9.847696483599584	No
Male	45	49	Head and Neck	Unknown/missing	2.88	843	29245418	2.882502824886962	No
Male	45	49	Head and Neck	I	0.01	2	29245418	0.006838678113610823	NET
Male	45	49	Head and Neck	II	0	1	29245418	0.0034193390568054115	NET
Male	45	49	Head and Neck	III	0.01	2	29245418	0.006838678113610823	NET
Male	45	49	Head and Neck	IV	0.04	12	29245418	0.04103206868166494	NET
Male	45	49	Head and Neck	Unknown/missing	0.02	5	29245418	0.017096695284027057	NET
Male	45	49	Kidney	I	11.36	3321	29245418	11.355625007650772	NotExpected
Male	45	49	Kidney	II	1.91	560	29245418	1.9148298718110304	NotExpected
Male	45	49	Kidney	III	2.27	663	29245418	2.2670217946619875	NotExpected
Male	45	49	Kidney	IV	2.56	749	29245418	2.5610849535472533	NotExpected
Male	45	49	Kidney	Unknown/missing	0.79	231	29245418	0.78986732212205	NotExpected
Male	45	49	Liver/Bile-duct	I	2.39	699	29245418	2.390118000706982	NotExpected
Male	45	49	Liver/Bile-duct	II	1.23	359	29245418	1.2275427213931427	NotExpected
Male	45	49	Liver/Bile-duct	III	1.57	458	29245418	1.5660572880168786	NotExpected
Male	45	49	Liver/Bile-duct	IV	1.59	464	29245418	1.5865733223577108	NotExpected
Male	45	49	Liver/Bile-duct	Unknown/missing	1.69	495	29245418	1.6925728331186785	NotExpected
Male	45	49	Lung	I	1.76	516	29245418	1.7643789533115921	No
Male	45	49	Lung	II	0.7	204	29245418	0.6975451675883039	No
Male	45	49	Lung	III	3.98	1163	29245418	3.976691323064693	No
Male	45	49	Lung	IV	9.01	2635	29245418	9.00995841468226	No
Male	45	49	Lung	Unknown/missing	1.09	319	29245418	1.0907691591209263	No
Male	45	49	Lung	I	0.13	37	29245418	0.12651554510180021	NET
Male	45	49	Lung	II	0.07	21	29245418	0.07180612019291364	NET
Male	45	49	Lung	III	0.75	218	29245418	0.7454159143835797	NET
Male	45	49	Lung	IV	2.07	605	29245418	2.068700129367274	NET
Male	45	49	Lung	Unknown/missing	0.55	161	29245418	0.5505135881456713	NET
Male	45	49	Lymphoma	I	5.32	1555	29245418	5.317072233332414	NotExpected
Male	45	49	Lymphoma	II	3.22	941	29245418	3.217598052453892	NotExpected
Male	45	49	Lymphoma	III	3.41	997	29245418	3.409081039634995	NotExpected
Male	45	49	Lymphoma	IV	6.67	1952	29245418	6.674549838884163	NotExpected
Male	45	49	Lymphoma	Unknown/missing	1.62	474	29245418	1.6207667129257648	NotExpected
Male	45	49	Lymphoid Leukemia	I	0.06	18	29245418	0.06154810302249741	NotExpected
Male	45	49	Lymphoid Leukemia	II	0.06	18	29245418	0.06154810302249741	NotExpected
Male	45	49	Lymphoid Leukemia	III	0.07	21	29245418	0.07180612019291364	NotExpected
Male	45	49	Lymphoid Leukemia	IV	0.24	69	29245418	0.23593439491957338	NotExpected
Male	45	49	Lymphoid Leukemia	Unknown/missing	4.72	1379	29245418	4.715268559334662	NotExpected
Male	45	49	Melanoma	I	15.83	4629	29245418	15.828120493952248	NotExpected
Male	45	49	Melanoma	II	2.18	638	29245418	2.1815383182418526	NotExpected
Male	45	49	Melanoma	III	1.92	561	29245418	1.918249210867836	NotExpected
Male	45	49	Melanoma	IV	0.93	272	29245418	0.9300602234510719	NotExpected
Male	45	49	Melanoma	Unknown/missing	2.04	598	29245418	2.044764755969636	NotExpected
Male	45	49	Myeloid Neoplasm	I	0	0	29245418	0	NotExpected
Male	45	49	Myeloid Neoplasm	II	0	0	29245418	0	NotExpected
Male	45	49	Myeloid Neoplasm	III	0	0	29245418	0	NotExpected
Male	45	49	Myeloid Neoplasm	IV	0	0	29245418	0	NotExpected
Male	45	49	Myeloid Neoplasm	Unknown/missing	5.21	1524	29245418	5.211072722571447	NotExpected
Male	45	49	Plasma Cell Neoplasm	I	0.01	2	29245418	0.006838678113610823	NotExpected
Male	45	49	Plasma Cell Neoplasm	II	0	0	29245418	0	NotExpected
Male	45	49	Plasma Cell Neoplasm	III	0	0	29245418	0	NotExpected
Male	45	49	Plasma Cell Neoplasm	IV	0	0	29245418	0	NotExpected
Male	45	49	Plasma Cell Neoplasm	Unknown/missing	4.29	1256	29245418	4.294689855347597	NotExpected
Male	45	49	Ovary	I	0	0	29245418	0	NotExpected
Male	45	49	Ovary	II	0	0	29245418	0	NotExpected
Male	45	49	Ovary	III	0	0	29245418	0	NotExpected
Male	45	49	Ovary	IV	0.01	3	29245418	0.010258017170416234	NotExpected
Male	45	49	Ovary	Unknown/missing	0.03	9	29245418	0.030774051511248703	NotExpected
Male	45	49	Pancreas	I	0.18	54	29245418	0.1846443090674922	No
Male	45	49	Pancreas	II	1.37	402	29245418	1.3745743008357754	No
Male	45	49	Pancreas	III	0.43	126	29245418	0.43083672115748184	No
Male	45	49	Pancreas	IV	3.02	882	29245418	3.0158570481023728	No
Male	45	49	Pancreas	Unknown/missing	0.89	260	29245418	0.889028154769407	No
Male	45	49	Pancreas	I	0.1	28	29245418	0.09574149359055152	NET
Male	45	49	Pancreas	II	0.14	41	29245418	0.14019290132902187	NET
Male	45	49	Pancreas	III	0.02	5	29245418	0.017096695284027057	NET
Male	45	49	Pancreas	IV	0.26	77	29245418	0.2632891073740167	NET
Male	45	49	Pancreas	Unknown/missing	0.03	8	29245418	0.027354712454443292	NET
Male	45	49	Prostate	I	0.03	10	29245418	0.034193390568054115	NotExpected
Male	45	49	Prostate	II	32.63	9542	29245418	32.627333280037234	NotExpected
Male	45	49	Prostate	III	3.4	994	29245418	3.3988230224645792	NotExpected
Male	45	49	Prostate	IV	2.69	788	29245418	2.694439176762664	NotExpected
Male	45	49	Prostate	Unknown/missing	1.77	518	29245418	1.7712176314252028	NotExpected
Male	45	49	Sarcoma	I	1.18	345	29245418	1.179671974597867	NotExpected
Male	45	49	Sarcoma	II	0.55	162	29245418	0.5539329272024767	NotExpected
Male	45	49	Sarcoma	III	0.62	180	29245418	0.615481030224974	NotExpected
Male	45	49	Sarcoma	IV	0.56	163	29245418	0.5573522662592821	NotExpected
Male	45	49	Sarcoma	Unknown/missing	4.33	1266	29245418	4.328883245915651	NotExpected
Male	45	49	Stomach	I	0.89	261	29245418	0.8924474938262124	No
Male	45	49	Stomach	II	0.57	167	29245418	0.5710296224865037	No
Male	45	49	Stomach	III	0.59	172	29245418	0.5881263177705308	No
Male	45	49	Stomach	IV	2.78	813	29245418	2.7799226531827994	No
Male	45	49	Stomach	Unknown/missing	1.14	333	29245418	1.138639905916202	No
Male	45	49	Stomach	I	0.05	14	29245418	0.04787074679527576	NET
Male	45	49	Stomach	II	0.01	3	29245418	0.010258017170416234	NET
Male	45	49	Stomach	III	0	0	29245418	0	NET
Male	45	49	Stomach	IV	0.04	11	29245418	0.03761272962485952	NET
Male	45	49	Stomach	Unknown/missing	0.01	2	29245418	0.006838678113610823	NET
Male	45	49	Thyroid	I	3.57	1043	29245418	3.5663706362480445	NotExpected
Male	45	49	Thyroid	II	1.32	385	29245418	1.3164455368700834	NotExpected
Male	45	49	Thyroid	III	2.48	724	29245418	2.475601477127118	NotExpected
Male	45	49	Thyroid	IV	1.6	468	29245418	1.6002506785849326	NotExpected
Male	45	49	Thyroid	Unknown/missing	0.69	201	29245418	0.6872871504178877	NotExpected
Male	45	49	Urothelial Tract	I	0.13	39	29245418	0.13335422321541104	No
Male	45	49	Urothelial Tract	II	0.08	22	29245418	0.07522545924971905	No
Male	45	49	Urothelial Tract	III	0.13	37	29245418	0.12651554510180021	No
Male	45	49	Urothelial Tract	IV	0.14	42	29245418	0.1436122403858273	No
Male	45	49	Urothelial Tract	Unknown/missing	0.04	12	29245418	0.04103206868166494	No
Male	45	49	Urothelial Tract	I	0	0	29245418	0	NET
Male	45	49	Urothelial Tract	II	0	0	29245418	0	NET
Male	45	49	Urothelial Tract	III	0	0	29245418	0	NET
Male	45	49	Urothelial Tract	IV	0	1	29245418	0.0034193390568054115	NET
