Sex	Lower	Upper	SEER_Draw	NET	Stage	Months	CSS	CSS_flag	OS	OS_flag	NCS
Male	40	44	Anus	NotExpected	I	12	0.98	FALSE	0.961	FALSE	0.9806122448979592
Male	40	44	Anus	NotExpected	I	24	0.96	FALSE	0.922	FALSE	0.9604166666666667
Male	40	44	Anus	NotExpected	I	36	0.94	FALSE	0.902	FALSE	0.9595744680851065
Male	40	44	Anus	NotExpected	I	48	0.94	FALSE	0.902	FALSE	0.9595744680851065
Male	40	44	Anus	NotExpected	I	60	0.918	FALSE	0.842	FALSE	0.9172113289760347
Male	40	44	Anus	NotExpected	I	72	0.918	FALSE	0.822	FALSE	0.8954248366013071
Male	40	44	Anus	NotExpected	I	84	0.918	FALSE	0.822	FALSE	0.8954248366013071
Male	40	44	Anus	NotExpected	I	96	0.918	FALSE	0.822	FALSE	0.8954248366013071
Male	40	44	Anus	NotExpected	I	108	0.918	FALSE	0.822	FALSE	0.8954248366013071
Male	40	44	Anus	NotExpected	I	120	0.918	FALSE	0.822	FALSE	0.8954248366013071
Male	40	44	Anus	NotExpected	I	132	0.918	FALSE	0.822	FALSE	0.8954248366013071
Male	40	44	Anus	NotExpected	I	144	0.918	FALSE	0.822	FALSE	0.8954248366013071
Male	40	44	Anus	NotExpected	I	156	0.918	FALSE	0.763	FALSE	0.8311546840958606
Male	40	44	Anus	NotExpected	I	168	0.918	FALSE	0.763	FALSE	0.8311546840958606
Male	40	44	Anus	NotExpected	I	180	0.918	FALSE	0.763	FALSE	0.8311546840958606
Male	40	44	Anus	NotExpected	I	191	0.918	TRUE	0.763	TRUE	0.8311546840958606
Male	40	44	Anus	NotExpected	II	12	0.93	FALSE	0.918	FALSE	0.9870967741935484
Male	40	44	Anus	NotExpected	II	24	0.829	FALSE	0.806	FALSE	0.9722557297949338
Male	40	44	Anus	NotExpected	II	36	0.785	FALSE	0.749	FALSE	0.954140127388535
Male	40	44	Anus	NotExpected	II	48	0.709	FALSE	0.65	FALSE	0.916784203102962
Male	40	44	Anus	NotExpected	II	60	0.709	FALSE	0.636	FALSE	0.8970380818053597
Male	40	44	Anus	NotExpected	II	72	0.709	FALSE	0.636	FALSE	0.8970380818053597
Male	40	44	Anus	NotExpected	II	84	0.69	FALSE	0.604	FALSE	0.8753623188405798
Male	40	44	Anus	NotExpected	II	96	0.671	FALSE	0.571	FALSE	0.8509687034277197
Male	40	44	Anus	NotExpected	II	108	0.651	FALSE	0.555	FALSE	0.8509687034277197
Male	40	44	Anus	NotExpected	II	120	0.651	FALSE	0.555	FALSE	0.8509687034277197
Male	40	44	Anus	NotExpected	II	132	0.651	FALSE	0.555	FALSE	0.8509687034277197
Male	40	44	Anus	NotExpected	II	144	0.651	FALSE	0.532	FALSE	0.8172043010752689
Male	40	44	Anus	NotExpected	II	156	0.651	FALSE	0.532	FALSE	0.8172043010752689
Male	40	44	Anus	NotExpected	II	168	0.579	FALSE	0.43	FALSE	0.7426597582037997
Male	40	44	Anus	NotExpected	II	180	0.579	FALSE	0.43	FALSE	0.7426597582037997
Male	40	44	Anus	NotExpected	II	191	0.579	TRUE	0.43	TRUE	0.7426597582037997
Male	40	44	Anus	NotExpected	III	12	0.903	FALSE	0.877	FALSE	0.97120708748615725
Male	40	44	Anus	NotExpected	III	24	0.644	FALSE	0.603	FALSE	0.936335403726708
Male	40	44	Anus	NotExpected	III	36	0.571	FALSE	0.534	FALSE	0.9352014010507882
Male	40	44	Anus	NotExpected	III	48	0.557	FALSE	0.507	FALSE	0.9102333931777378
Male	40	44	Anus	NotExpected	III	60	0.557	FALSE	0.493	FALSE	0.8850987432675044
Male	40	44	Anus	NotExpected	III	72	0.541	FALSE	0.465	FALSE	0.8595194085027726
Male	40	44	Anus	NotExpected	III	84	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	96	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	108	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	120	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	132	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	144	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	156	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	168	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	180	0.541	FALSE	0.45	FALSE	0.8317929759704251
Male	40	44	Anus	NotExpected	III	191	0.541	TRUE	0.45	TRUE	0.8317929759704251
Male	40	44	Anus	NotExpected	IV	12	0.524	FALSE	0.524	FALSE	1
Male	40	44	Anus	NotExpected	IV	24	0.286	FALSE	0.286	FALSE	1
Male	40	44	Anus	NotExpected	IV	36	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	48	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	60	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	72	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	84	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	96	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	108	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	120	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	132	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	144	0.19	FALSE	0.19	FALSE	1
Male	40	44	Anus	NotExpected	IV	156	0.19	TRUE	0.19	TRUE	1
Male	40	44	Anus	NotExpected	IV	168	0.19	TRUE	0.19	TRUE	1
Male	40	44	Anus	NotExpected	IV	180	0.19	TRUE	0.19	TRUE	1
Male	40	44	Anus	NotExpected	IV	191	0.19	TRUE	0.19	TRUE	1
Male	40	44	Anus	NotExpected	NotStaged	12	0.897	FALSE	0.887	FALSE	0.9888517279821628
Male	40	44	Anus	NotExpected	NotStaged	24	0.801	FALSE	0.792	FALSE	0.9887640449438202
Male	40	44	Anus	NotExpected	NotStaged	36	0.741	FALSE	0.721	FALSE	0.9730094466936572
Male	40	44	Anus	NotExpected	NotStaged	48	0.729	FALSE	0.674	FALSE	0.9245541838134431
Male	40	44	Anus	NotExpected	NotStaged	60	0.677	FALSE	0.603	FALSE	0.8906942392909896
Male	40	44	Anus	NotExpected	NotStaged	72	0.636	FALSE	0.554	FALSE	0.8710691823899371
Male	40	44	Anus	NotExpected	NotStaged	84	0.636	FALSE	0.542	FALSE	0.8522012578616353
Male	40	44	Anus	NotExpected	NotStaged	96	0.621	FALSE	0.53	FALSE	0.8522012578616353
Male	40	44	Anus	NotExpected	NotStaged	108	0.604	FALSE	0.516	FALSE	0.8522012578616353
Male	40	44	Anus	NotExpected	NotStaged	120	0.604	FALSE	0.516	FALSE	0.8522012578616353
Male	40	44	Anus	NotExpected	NotStaged	132	0.604	FALSE	0.498	FALSE	0.8245033112582781
Male	40	44	Anus	NotExpected	NotStaged	144	0.604	FALSE	0.48	FALSE	0.7947019867549668
Male	40	44	Anus	NotExpected	NotStaged	156	0.604	FALSE	0.457	FALSE	0.7566225165562914
Male	40	44	Anus	NotExpected	NotStaged	168	0.604	FALSE	0.457	FALSE	0.7566225165562914
Male	40	44	Anus	NotExpected	NotStaged	180	0.604	FALSE	0.457	FALSE	0.7566225165562914
Male	40	44	Anus	NotExpected	NotStaged	191	0.604	FALSE	0.457	FALSE	0.7566225165562914
Male	40	44	Bladder	No	I	12	1	FALSE	0.988	FALSE	0.988
Male	40	44	Bladder	No	I	24	0.988	FALSE	0.977	FALSE	0.988
Male	40	44	Bladder	No	I	36	0.959	FALSE	0.942	FALSE	0.9822732012513035
Male	40	44	Bladder	No	I	48	0.923	FALSE	0.901	FALSE	0.9761646803900325
Male	40	44	Bladder	No	I	60	0.904	FALSE	0.883	FALSE	0.9761646803900325
Male	40	44	Bladder	No	I	72	0.904	FALSE	0.877	FALSE	0.9701327433628318
Male	40	44	Bladder	No	I	84	0.879	FALSE	0.839	FALSE	0.9544937428896473
Male	40	44	Bladder	No	I	96	0.871	FALSE	0.818	FALSE	0.939150401836969
Male	40	44	Bladder	No	I	108	0.863	FALSE	0.802	FALSE	0.9293163383545772
Male	40	44	Bladder	No	I	120	0.863	FALSE	0.802	FALSE	0.9293163383545772
Male	40	44	Bladder	No	I	132	0.85	FALSE	0.79	FALSE	0.9293163383545772
Male	40	44	Bladder	No	I	144	0.836	FALSE	0.764	FALSE	0.9138755980861245
Male	40	44	Bladder	No	I	156	0.836	FALSE	0.748	FALSE	0.8947368421052632
Male	40	44	Bladder	No	I	168	0.836	FALSE	0.748	FALSE	0.8947368421052632
Male	40	44	Bladder	No	I	180	0.836	FALSE	0.748	FALSE	0.8947368421052632
Male	40	44	Bladder	No	I	191	0.836	FALSE	0.748	FALSE	0.8947368421052632
Male	40	44	Bladder	No	II	12	0.859	FALSE	0.863	FALSE	1
Male	40	44	Bladder	No	II	24	0.774	FALSE	0.767	FALSE	0.9909560723514211
Male	40	44	Bladder	No	II	36	0.659	FALSE	0.644	FALSE	0.9772382397572079
Male	40	44	Bladder	No	II	48	0.615	FALSE	0.602	FALSE	0.9772382397572079
Male	40	44	Bladder	No	II	60	0.599	FALSE	0.546	FALSE	0.9115191986644409
Male	40	44	Bladder	No	II	72	0.583	FALSE	0.532	FALSE	0.9115191986644409
Male	40	44	Bladder	No	II	84	0.583	FALSE	0.518	FALSE	0.888507718696398
Male	40	44	Bladder	No	II	96	0.583	FALSE	0.502	FALSE	0.8610634648370498
Male	40	44	Bladder	No	II	108	0.56	FALSE	0.482	FALSE	0.8607142857142857
Male	40	44	Bladder	No	II	120	0.537	FALSE	0.462	FALSE	0.8603351955307262
Male	40	44	Bladder	No	II	132	0.537	FALSE	0.462	FALSE	0.8603351955307262
Male	40	44	Bladder	No	II	144	0.537	FALSE	0.462	FALSE	0.8603351955307262
Male	40	44	Bladder	No	II	156	0.477	FALSE	0.411	FALSE	0.8603351955307262
Male	40	44	Bladder	No	II	168	0.477	FALSE	0.411	FALSE	0.8603351955307262
Male	40	44	Bladder	No	II	180	0.477	FALSE	0.411	FALSE	0.8603351955307262
Male	40	44	Bladder	No	II	191	0.477	FALSE	0.411	FALSE	0.8603351955307262
Male	40	44	Bladder	No	III	12	0.889	FALSE	0.889	FALSE	1
Male	40	44	Bladder	No	III	24	0.593	FALSE	0.593	FALSE	1
Male	40	44	Bladder	No	III	36	0.556	FALSE	0.556	FALSE	1
Male	40	44	Bladder	No	III	48	0.481	FALSE	0.481	FALSE	1
Male	40	44	Bladder	No	III	60	0.481	FALSE	0.481	FALSE	1
Male	40	44	Bladder	No	III	72	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	84	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	96	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	108	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	120	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	132	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	144	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	156	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	168	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	180	0.441	FALSE	0.441	FALSE	1
Male	40	44	Bladder	No	III	191	0.441	TRUE	0.441	TRUE	1
Male	40	44	Bladder	No	IV	12	0.601	FALSE	0.571	FALSE	0.9500831946755407
Male	40	44	Bladder	No	IV	24	0.361	FALSE	0.343	FALSE	0.9500831946755407
Male	40	44	Bladder	No	IV	36	0.214	FALSE	0.203	FALSE	0.9485981308411215
Male	40	44	Bladder	No	IV	48	0.214	FALSE	0.19	FALSE	0.8878504672897196
Male	40	44	Bladder	No	IV	60	0.214	FALSE	0.19	FALSE	0.8878504672897196
Male	40	44	Bladder	No	IV	72	0.198	FALSE	0.177	FALSE	0.8878504672897196
Male	40	44	Bladder	No	IV	84	0.198	FALSE	0.177	FALSE	0.8878504672897196
Male	40	44	Bladder	No	IV	96	0.182	FALSE	0.162	FALSE	0.8878504672897196
Male	40	44	Bladder	No	IV	108	0.182	FALSE	0.162	FALSE	0.8878504672897196
Male	40	44	Bladder	No	IV	120	0.182	FALSE	0.142	FALSE	0.7802197802197802
Male	40	44	Bladder	No	IV	132	0.152	FALSE	0.118	FALSE	0.7763157894736842
Male	40	44	Bladder	No	IV	144	0.152	FALSE	0.118	FALSE	0.7763157894736842
Male	40	44	Bladder	No	IV	156	0.152	FALSE	0.118	FALSE	0.7763157894736842
Male	40	44	Bladder	No	IV	168	0.152	FALSE	0.118	FALSE	0.7763157894736842
Male	40	44	Bladder	No	IV	180	0.152	TRUE	0.118	TRUE	0.7763157894736842
Male	40	44	Bladder	No	IV	191	0.152	TRUE	0.118	TRUE	0.7763157894736842
Male	40	44	Bladder	No	NotStaged	12	0.903	FALSE	0.903	FALSE	1
Male	40	44	Bladder	No	NotStaged	24	0.903	FALSE	0.871	FALSE	0.964562569213732
Male	40	44	Bladder	No	NotStaged	36	0.903	FALSE	0.871	FALSE	0.964562569213732
Male	40	44	Bladder	No	NotStaged	48	0.903	FALSE	0.871	FALSE	0.964562569213732
Male	40	44	Bladder	No	NotStaged	60	0.87	FALSE	0.839	FALSE	0.964367816091954
