Lower	Upper	Sex	Exposure	scenario	predicted_CSO	total_cso_driven	total_ncso_driven	overall_ppv	ppv_first	ppv_xct	diagnostic_ls_css_first	diagnostic_ls_css_xct	diagnostic_ls_os_first	diagnostic_ls_os_xct
40	44	Female	Any	old_3	Anus	10	9	35	4	32	159.9	17.1	149.7	17.1
40	44	Female	Any	old_3	Bladder, urothelial	5	5	5	4	2	102.3	372.9	111.4	379.9
40	44	Female	Any	old_3	Bone and soft tissue	6	5	24	19	6	19.5	92.3	19.7	93.2
40	44	Female	Any	old_3	Breast	77	46	41	40	1	27.4	372	26.8	378.4
40	44	Female	Any	old_3	Cervix	5	2	56	56	1	9.9	662.8	9.8	685.4
40	44	Female	Any	old_3	Colon, rectum	77	68	14	13	2	27.5	333.7	27.6	338.3
40	44	Female	Any	old_3	Head and neck	37	34	16	7	9	102.3	56.3	87.7	56.5
40	44	Female	Any	old_3	Kidney	6	5	8	5	4	135	106.9	135.9	109.7
40	44	Female	Any	old_3	Liver, bile duct	15	15	8	5	3	67.4	122.5	84.5	125.8
40	44	Female	Any	old_3	Lung	89	86	6	4	2	57.4	345.6	62.4	346.4
40	44	Female	Any	old_3	Lymphoid lineage	57	52	10	9	2	170.2	341.6	155.2	347.9
40	44	Female	Any	old_3	Melanocytic lineage	2	2	6	5	1	Inf	481.2	Inf	492.4
40	44	Female	Any	old_3	Myeloid lineage	0	0	1	0	1	Inf	480.9	Inf	492
40	44	Female	Any	old_3	Neuroendocrine cells	37	36	4	3	1	85.7	385.5	85.1	406.8
40	44	Female	Any	old_3	Ovary	16	12	27	26	2	15.3	414.8	15.2	421.8
40	44	Female	Any	old_3	Pancreas, gallbladder	35	33	6	4	2	67.7	217.3	71.7	225.4
40	44	Female	Any	old_3	Plasma cell neoplasm	27	26	4	3	0	Inf	1224.7	Inf	1252.9
40	44	Female	Any	old_3	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Any	old_3	Stomach, esophagus	31	30	6	5	2	81	278.9	86.3	288.4
40	44	Female	Any	old_3	Thyroid gland	0	0	1	0	1	Inf	481.3	Inf	492.4
40	44	Female	Any	old_3	Uterus	52	49	9	5	4	203.9	104.5	201.3	104.3
40	44	Female	Any	old_4	Anus	9	9	30	4	27	158	18.9	148.7	18.8
40	44	Female	Any	old_4	Bladder, urothelial	5	5	4	3	1	123.1	452.2	131.4	460.9
40	44	Female	Any	old_4	Bone and soft tissue	6	5	19	16	5	22.7	107.7	22.9	108.8
40	44	Female	Any	old_4	Breast	69	46	34	33	1	30.3	426.8	29.7	434.1
40	44	Female	Any	old_4	Cervix	5	2	50	50	1	10.3	775	10.2	801
40	44	Female	Any	old_4	Colon, rectum	76	67	13	12	1	28.6	399.3	28.7	404.7
40	44	Female	Any	old_4	Head and neck	36	33	13	6	8	113.6	65.1	97.4	65.4
40	44	Female	Any	old_4	Kidney	5	5	6	3	3	181.7	127.1	183.1	130.5
40	44	Female	Any	old_4	Liver, bile duct	15	15	6	4	3	79.9	147.5	99.3	151.5
40	44	Female	Any	old_4	Lung	89	86	5	4	1	61.6	406.6	66.8	406.9
40	44	Female	Any	old_4	Lymphoid lineage	56	52	8	7	1	199.1	399.9	183	407.3
40	44	Female	Any	old_4	Melanocytic lineage	2	2	4	3	1	Inf	564	Inf	577
40	44	Female	Any	old_4	Myeloid lineage	0	0	1	0	1	Inf	563.7	Inf	576.6
40	44	Female	Any	old_4	Neuroendocrine cells	37	36	4	3	1	93.7	437.6	93.1	462
40	44	Female	Any	old_4	Ovary	15	12	23	22	1	17.1	492.4	17	500.9
40	44	Female	Any	old_4	Pancreas, gallbladder	34	33	5	3	2	83.6	254.2	88.5	263.5
40	44	Female	Any	old_4	Plasma cell neoplasm	26	26	3	3	0	Inf	1437.4	Inf	1470.4
40	44	Female	Any	old_4	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Any	old_4	Stomach, esophagus	31	30	5	3	1	108	329.6	114.9	340.7
40	44	Female	Any	old_4	Thyroid gland	0	0	1	0	1	Inf	564.1	Inf	577
40	44	Female	Any	old_4	Uterus	51	49	7	3	3	250.4	123.4	247.2	123.1
40	44	Female	Current	old_3	Anus	11	11	44	4	42	185.7	13.1	173.9	13.1
40	44	Female	Current	old_3	Bladder, urothelial	5	5	10	8	2	47.7	273.3	51.9	277.6
40	44	Female	Current	old_3	Bone and soft tissue	6	5	25	19	7	19.7	63.4	19.9	65.3
40	44	Female	Current	old_3	Breast	77	47	41	40	2	27.5	233.7	26.9	237.2
40	44	Female	Current	old_3	Cervix	7	2	66	66	1	8.4	494	8.4	509.4
40	44	Female	Current	old_3	Colon, rectum	81	68	18	16	2	21.4	234.2	21.4	237.1
40	44	Female	Current	old_3	Head and neck	44	36	29	18	14	40.7	35.5	34.9	35.9
40	44	Female	Current	old_3	Kidney	6	5	11	6	5	104.6	68.4	105.3	71.3
40	44	Female	Current	old_3	Liver, bile duct	16	15	11	7	4	41.7	88.1	52.2	91.2
40	44	Female	Current	old_3	Lung	102	87	17	15	3	15.6	195.2	17	192.2
40	44	Female	Current	old_3	Lymphoid lineage	57	53	11	9	2	171	248.8	156	254.7
40	44	Female	Current	old_3	Melanocytic lineage	2	2	6	5	2	Inf	346.3	Inf	353.2
40	44	Female	Current	old_3	Myeloid lineage	0	0	2	0	1	Inf	345.9	Inf	352.9
40	44	Female	Current	old_3	Neuroendocrine cells	40	36	12	10	2	27.3	146.4	26.9	156.6
40	44	Female	Current	old_3	Ovary	16	12	27	26	2	15.3	310.9	15.2	315.9
40	44	Female	Current	old_3	Pancreas, gallbladder	36	34	9	6	3	46.4	132.1	49.2	138.3
40	44	Female	Current	old_3	Plasma cell neoplasm	27	26	4	3	1	Inf	879.2	Inf	896.8
40	44	Female	Current	old_3	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Current	old_3	Stomach, esophagus	32	30	10	7	2	52.9	175.9	56.8	182.9
40	44	Female	Current	old_3	Thyroid gland	0	0	2	0	2	Inf	346.3	Inf	353.3
40	44	Female	Current	old_3	Uterus	52	49	9	5	4	204.2	101.8	201.5	101.6
40	44	Female	Current	old_4	Anus	10	10	39	4	36	179.6	14.1	169	14.1
40	44	Female	Current	old_4	Bladder, urothelial	5	5	8	6	2	56.8	328.3	60.7	333.7
40	44	Female	Current	old_4	Bone and soft tissue	6	5	20	15	6	23	71.9	23.1	74.1
