Lower	Upper	Sex	Exposure	scenario	predicted_CSO	total_cso_driven	total_ncso_driven	overall_ppv	ppv_first	ppv_xct	diagnostic_ls_css_first	diagnostic_ls_css_xct	diagnostic_ls_os_first	diagnostic_ls_os_xct
40	44	Female	Any	old_3	Anus	19	18	67	5	66	135.1	6.9	127.5	6.9
40	44	Female	Any	old_3	Bladder, urothelial	5	5	15	11	5	29.8	105	30.5	106.7
40	44	Female	Any	old_3	Bone and soft tissue	9	6	48	36	18	9.3	24.9	9.3	25
40	44	Female	Any	old_3	Breast	118	48	61	59	5	14.7	101	14.4	101.9
40	44	Female	Any	old_3	Cervix	14	2	84	83	3	5.4	187.7	5.4	193.3
40	44	Female	Any	old_3	Colon, rectum	96	70	31	27	5	12.3	94	12.4	95.1
40	44	Female	Any	old_3	Head and neck	56	43	45	23	28	28.4	15.9	24.3	16
40	44	Female	Any	old_3	Kidney	6	6	18	9	10	55.8	36.8	56.2	37.6
40	44	Female	Any	old_3	Liver, bile duct	18	16	20	12	9	25.4	41.6	30.3	42.5
40	44	Female	Any	old_3	Lung	98	89	14	9	5	27.3	96.6	29.6	95.9
40	44	Female	Any	old_3	Lymphoid lineage	74	54	30	27	5	47.1	102.8	43.4	104.5
40	44	Female	Any	old_3	Melanocytic lineage	2	2	9	5	4	Inf	124.9	Inf	127.1
40	44	Female	Any	old_3	Myeloid lineage	0	0	4	0	4	Inf	124.7	Inf	126.9
40	44	Female	Any	old_3	Neuroendocrine cells	40	36	11	9	3	34.2	128.1	34.5	133.6
40	44	Female	Any	old_3	Ovary	30	12	62	60	5	5.8	111.7	5.8	113.2
40	44	Female	Any	old_3	Pancreas, gallbladder	39	35	17	11	7	29.2	61.9	30.9	63.5
40	44	Female	Any	old_3	Plasma cell neoplasm	28	26	8	6	2	Inf	312.5	Inf	318.2
40	44	Female	Any	old_3	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Any	old_3	Stomach, esophagus	34	31	15	11	5	36.8	85.8	39.3	88.3
40	44	Female	Any	old_3	Thyroid gland	0	0	4	0	4	Inf	124.9	Inf	127.1
40	44	Female	Any	old_3	Uterus	63	55	25	12	15	64.2	25.7	63.5	25.6
40	44	Female	Any	old_4	Anus	12	11	46	6	42	103.1	10.7	97.8	10.7
40	44	Female	Any	old_4	Bladder, urothelial	5	5	8	6	2	55.1	227.5	56.4	232
40	44	Female	Any	old_4	Bone and soft tissue	7	5	29	23	8	14.6	52.4	14.7	52.8
40	44	Female	Any	old_4	Breast	82	47	44	43	2	20.4	199.5	20	202.5
40	44	Female	Any	old_4	Cervix	7	2	67	66	1	6.8	372.6	6.8	384.7
40	44	Female	Any	old_4	Colon, rectum	88	68	25	23	2	14.3	201.2	14.4	203.9
40	44	Female	Any	old_4	Head and neck	41	36	24	12	14	53.5	32.3	45.9	32.4
40	44	Female	Any	old_4	Kidney	6	5	9	5	5	121.1	69.9	122.1	71.8
40	44	Female	Any	old_4	Liver, bile duct	16	15	10	6	4	46.5	81.8	56	84
40	44	Female	Any	old_4	Lung	93	87	10	7	2	33.6	198.8	36.3	198.3
40	44	Female	Any	old_4	Lymphoid lineage	61	53	15	13	3	98.3	200.5	91.4	204.2
40	44	Female	Any	old_4	Melanocytic lineage	2	2	5	3	2	Inf	267	Inf	273
40	44	Female	Any	old_4	Myeloid lineage	0	0	2	0	2	Inf	266.8	Inf	272.7
40	44	Female	Any	old_4	Neuroendocrine cells	38	36	7	6	2	48.9	222.2	48.9	233.8
40	44	Female	Any	old_4	Ovary	19	12	39	37	2	9.5	238.8	9.4	243.1
40	44	Female	Any	old_4	Pancreas, gallbladder	36	34	9	5	4	53.4	126.4	56.6	130.3
40	44	Female	Any	old_4	Plasma cell neoplasm	27	26	5	4	1	Inf	676.9	Inf	691.9
40	44	Female	Any	old_4	Prostate	0	0	NA	NA	NA	NA	NA	NA	NA
40	44	Female	Any	old_4	Stomach, esophagus	31	30	7	5	2	71	170.2	75.9	175.7
40	44	Female	Any	old_4	Thyroid gland	0	0	2	0	2	Inf	267.1	Inf	273
40	44	Female	Any	old_4	Uterus	53	51	12	5	7	134.5	58.9	133	58.7
40	44	Female	Current	old_3	Anus	26	25	75	4	74	179.3	6.1	169.3	6.1
40	44	Female	Current	old_3	Bladder, urothelial	6	5	26	21	6	15.2	78.9	15.5	79.8
40	44	Female	Current	old_3	Bone and soft tissue	9	6	49	36	21	9.5	20.1	9.5	20.4
40	44	Female	Current	old_3	Breast	119	49	61	59	7	14.8	67.2	14.5	67.2
40	44	Female	Current	old_3	Cervix	20	2	89	88	3	5.1	147.4	5.1	150.6
40	44	Female	Current	old_3	Colon, rectum	106	71	37	33	7	10.1	70.4	10.1	71
40	44	Female	Current	old_3	Head and neck	89	50	65	44	38	15	11.6	12.8	11.6
40	44	Female	Current	old_3	Kidney	7	6	23	11	13	44.6	25.9	44.9	26.8
40	44	Female	Current	old_3	Liver, bile duct	20	16	28	19	11	16.7	31.5	20	32.5
40	44	Female	Current	old_3	Lung	129	92	34	28	8	8.6	57.2	9.3	55.5
40	44	Female	Current	old_3	Lymphoid lineage	75	55	31	27	6	47.6	78	43.9	79.4
40	44	Female	Current	old_3	Melanocytic lineage	2	2	10	5	5	Inf	92.6	Inf	93.7
