Lower	Upper	Sex	Exposure	scenario	total_cso_driven	total_lss_cso_driven	total_ncso_driven	remaining_cancer_risk	total_lss_ncso_driven	total_no_CSO_driven	total_lss_no_CSO_driven	first_cso_ratio	breakeven_ratio
40	44	Female	Any	old_3	584.3812441327849	11.717645712434601	515.6693460819713	0.030386421455970074	2.9975504091976086	584.3812441327849	14.71519612163221	0.7962955855687827	0.11758060126105052
40	44	Female	Any	old_4	566.8895367422544	10.16514023671828	512.3791714339241	0.02416017692382019	2.533957456430801	566.8895367422544	12.699097693149081	0.8004616140721696	0.0961569437700072
40	44	Female	Current	old_3	617.7491652620281	20.409138249722325	522.1770403143655	0.04247034741514912	4.565155152482585	617.7491652620281	24.97429340220491	0.8172058332557453	0.15471024539082
40	44	Female	Current	old_4	595.9464568554806	18.08540581434276	517.7430069197395	0.034269911293055955	3.9113448047237207	595.9464568554806	21.996750619066482	0.8221853367136225	0.1312256311554945
40	44	Female	Former	old_3	588.5280845576295	12.469076252045939	517.3148475766534	0.033470617860214845	3.310768837077244	588.5280845576295	15.779845089123183	0.7901900292190251	0.1210022747419165
40	44	Female	Former	old_4	570.3671649621419	10.846925405426063	513.6861862469768	0.026643087965765595	2.8014670245612314	570.3671649621419	13.648392429987295	0.794740146949025	0.09937630038525676
40	44	Female	Never	old_3	575.0312451106288	9.395595493718732	513.5572045302309	0.026398625918669136	2.517451787725285	575.0312451106288	11.913047281444017	0.7886811217775896	0.10690556574638135
40	44	Female	Never	old_4	558.7935541964957	8.050157636367066	510.6552718261426	0.020865880397236483	2.114772032227682	558.7935541964957	10.164929668594748	0.7919540910586508	0.08614681040759758
40	44	Male	Any	old_3	548.0491233517675	9.11883665701502	507.9542181274353	0.015659320945809515	1.457365973215368	548.0491233517675	10.576202630230387	0.8622032856055802	0.07315932735941477
40	44	Male	Any	old_4	540.4266259656973	8.04920843741773	506.46859767497114	0.012771961982768969	1.2334122563401304	540.4266259656974	9.282620693757861	0.8671267202408104	0.06283559443438994
40	44	Male	Current	old_3	579.6270676835363	17.242311216139598	511.45399535176546	0.022394967007516774	2.444032049438331	579.6270676835363	19.68634326557793	0.8758513952303278	0.11761540502969035
40	44	Male	Current	old_4	568.0033089487799	15.314372950401996	509.48666742693115	0.018620050402578345	2.1062369365314573	568.0033089487799	17.420609886933452	0.8790951091723106	0.10302165603603122
40	44	Male	Former	old_3	547.7757238508856	9.093785508391647	507.98950363436154	0.0157276943267555	1.4552849916064123	547.7757238508856	10.54907049999806	0.8620461403109706	0.07263231735942093
40	44	Male	Former	old_4	540.1905873693809	8.031443293161537	506.4913053719821	0.012816222713269675	1.2303547929955738	540.1905873693808	9.26179808615711	0.8671581067142363	0.062384059969477365
40	44	Male	Never	old_3	536.4010076553707	6.095421855146104	506.6242695138242	0.013075310269247445	1.0895744416475375	536.4010076553707	7.184996296793642	0.8483542097114555	0.055512084646711916
40	44	Male	Never	old_4	530.2528344092051	5.3424836659578085	505.3262926014086	0.010540303719382877	0.9087797065245864	530.2528344092051	6.251263372482395	0.8546246330741769	0.0470087856023797
45	49	Female	Any	old_3	631.5757179128535	20.489507004321755	521.6603835557593	0.04152200212735545	4.6067816317418515	631.5757179128535	25.096288636063605	0.8164357408161994	0.17403350261838385
45	49	Female	Any	old_4	605.8137756816702	17.873051820062727	517.3805207843093	0.033593303354292586	3.9107001371400516	605.8137756816701	21.783751957202778	0.8204762822849265	0.1459743215608699
45	49	Female	Current	old_3	701.0338855196593	40.84237317214361	531.902609542994	0.05997829108303186	7.661295849797315	701.0338855196593	48.50366902194092	0.842047086245544	0.2412597728443503
45	49	Female	Current	old_4	667.5138291816463	36.43264462067444	526.1445638925993	0.04969083724665472	6.631997595635489	667.5138291816461	43.06464221630993	0.84599900859913	0.21178477375122196
45	49	Female	Former	old_3	638.0474835282853	22.02276172297034	523.5278599474357	0.044940989290995735	5.052469526879375	638.0474835282853	27.075231249849715	0.8133914543423366	0.17948448436404316
45	49	Female	Former	old_4	611.4281694989362	19.268189014353513	518.9040621966648	0.03643074620892096	4.295012153534883	611.4281694989362	23.563201167888398	0.8177237412296905	0.15132457403474672
45	49	Female	Never	old_3	612.8580437907253	15.130045843184627	518.5853143287488	0.035838489473627735	3.72808369843758	612.8580437907253	18.85812954162221	0.8023089357717454	0.15382474035727614
45	49	Female	Never	old_4	589.2331651165431	12.98685114214003	514.774921901181	0.028701712675927943	3.132259253677411	589.233165116543	16.11911039581744	0.8056803895027504	0.12636465091138427
45	49	Male	Any	old_3	593.186283511422	18.42278217730288	512.8093358319604	0.02497874928735265	2.5832037312172837	593.186283511422	21.005985908520167	0.8770253516084898	0.13550034772156672
45	49	Male	Any	old_4	578.8990146388695	16.376067756184245	510.50076542642046	0.020569539043980106	2.209741316886493	578.8990146388696	18.585809073070738	0.8811059928465411	0.11815229855783667
45	49	Male	Current	old_3	669.1965311853949	37.082270000829965	521.2471692827595	0.04076217682293747	4.872448956183722	669.1965311853949	41.95471895701369	0.8838641021245791	0.2210850699428496
45	49	Male	Current	old_4	645.6770037348838	33.215080876659776	517.8394314116783	0.03444973543835087	4.257584847310907	645.6770037348839	37.472665723970685	0.8863815860159797	0.19798997267013696
45	49	Male	Former	old_3	592.3687405400357	18.335557904515245	512.8315617481675	0.025021006321113672	2.577674565379672	592.3687405400357	20.913232469894915	0.876744325914691	0.13426970963956972
45	49	Male	Former	old_4	578.1744274840919	16.30208593841881	510.503002696799	0.020573831380649006	2.201785658545055	578.1744274840919	18.503871596963865	0.8810094608035257	0.11704326855437554
45	49	Male	Never	old_3	565.2432735100515	11.495693681066117	509.64024019742027	0.01891577516266355	1.7302769897592831	565.2432735100516	13.225970670825399	0.869175803211478	0.09837009287584662
45	49	Male	Never	old_4	554.3537536004837	10.121992984677963	507.7546587475754	0.015272452185279834	1.448545131922862	554.3537536004837	11.570538116600824	0.8748074534368836	0.08406021344719132
50	54	Female	Any	old_3	690.6821986405765	33.11573582995584	528.9786166040108	0.05478220800313363	6.680785985387155	690.6821986405765	39.79652181534299	0.8321263849040328	0.2341215429539607
50	54	Female	Any	old_4	655.753314834579	28.989463591771717	523.5098624738567	0.04490815581345574	5.685470570830432	655.7533148345789	34.67493416260215	0.8360351444599896	0.20166646415517092
50	54	Female	Current	old_3	818.8181389759442	68.63812536836704	545.3655352826677	0.08318372238017253	11.536236495816382	818.8181389759442	80.17436186418342	0.8561106539848868	0.33396011968575867
50	54	Female	Current	old_4	770.5140222569746	61.48165839336484	537.8377067206204	0.07035153215889206	10.041942737459879	770.5140222569746	71.52360113082472	0.8595995926003218	0.3019754460208307
50	54	Female	Former	old_3	701.160660328208	35.71050885080574	531.2571388225265	0.05883617656753655	7.2845039161874	701.160660328208	42.995012766993135	0.8305732817044389	0.24231753308314669
50	54	Female	Former	old_4	665.0238842725018	31.36212559941566	525.4174415977611	0.048375709646159226	6.209950381730167	665.0238842725018	37.57207598114583	0.8347189975649361	0.20992696048422713
50	54	Female	Never	old_3	656.6557813965751	23.7897564797866	524.3033703295885	0.04635364124077789	5.320140280515578	656.6557813965751	29.109896760302178	0.8172394658654106	0.20155523611701037
50	54	Female	Never	old_4	625.3180454503597	20.459290272301246	519.4512724643224	0.03744580771174906	4.470585406636511	625.3180454503596	24.929875678937755	0.8206735779908632	0.16930068427785572
50	54	Male	Any	old_3	675.7401070943341	34.37962147776662	521.7838870118547	0.0417488687445037	4.668899943084239	675.7401070943341	39.04852142085086	0.8804333743456116	0.22783347986326777
50	54	Male	Any	old_4	648.7947704171514	30.590753945358568	517.8956054801769	0.03455446482034655	4.015780302401662	648.7947704171514	34.60653424776023	0.8839588999681016	0.20175742916794961
50	54	Male	Current	old_3	834.9851386516997	72.23791051103565	539.5183404867632	0.07324744595542226	9.329094323229265	834.9851386516997	81.56700483426492	0.8856266165199402	0.35385875087794294
50	54	Male	Current	old_4	789.2174259989939	64.78934301147527	533.3994362026262	0.06261618204999074	8.192354744454839	789.2174259989938	72.9816977559301	0.88774781902372	0.32414133465508865
50	54	Male	Former	old_3	673.9910140899768	34.07522125856546	521.7698484261074	0.04172308632201549	4.644830090219372	673.9910140899768	38.720051348784835	0.8800407042754311	0.22585043788662165
